"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2009","3,54","3,54","3,54","3,54","","0,00%"
"02.01.2009","3,54","3,54","3,54","3,54","","0,00%"
"05.01.2009","3,51","3,51","3,51","3,51","","-0,85%"
"06.01.2009","3,54","3,54","3,54","3,54","","0,85%"
"07.01.2009","3,55","3,55","3,55","3,55","","0,28%"
"08.01.2009","3,54","3,54","3,54","3,54","","-0,28%"
"09.01.2009","3,53","3,53","3,53","3,53","","-0,28%"
"12.01.2009","3,52","3,52","3,52","3,52","","-0,28%"
"13.01.2009","3,52","3,52","3,52","3,52","","0,00%"
"14.01.2009","3,53","3,53","3,53","3,53","","0,28%"
"15.01.2009","3,53","3,53","3,53","3,53","","0,00%"
"16.01.2009","3,52","3,52","3,52","3,52","","-0,28%"
"19.01.2009","3,51","3,51","3,51","3,51","","-0,28%"
"20.01.2009","3,51","3,51","3,51","3,51","","0,00%"
"21.01.2009","3,51","3,51","3,51","3,51","","0,00%"
"22.01.2009","3,52","3,52","3,52","3,52","","0,28%"
"23.01.2009","3,52","3,52","3,52","3,52","","0,00%"
"26.01.2009","3,52","3,52","3,52","3,52","","0,00%"
"27.01.2009","3,53","3,53","3,53","3,53","","0,28%"
"28.01.2009","3,54","3,54","3,54","3,54","","0,28%"
"29.01.2009","3,55","3,55","3,55","3,55","","0,28%"
"30.01.2009","3,54","3,54","3,54","3,54","","-0,28%"
"02.02.2009","3,53","3,53","3,53","3,53","","-0,28%"
"03.02.2009","3,53","3,53","3,53","3,53","","0,00%"
"04.02.2009","3,54","3,54","3,54","3,54","","0,28%"
"05.02.2009","3,55","3,55","3,55","3,55","","0,28%"
"06.02.2009","3,55","3,55","3,55","3,55","","0,00%"
"09.02.2009","3,55","3,55","3,55","3,55","","0,00%"
"10.02.2009","3,54","3,54","3,54","3,54","","-0,28%"
"11.02.2009","3,53","3,53","3,53","3,53","","-0,28%"
"12.02.2009","3,54","3,54","3,54","3,54","","0,28%"
"13.02.2009","3,54","3,54","3,54","3,54","","0,00%"
"16.02.2009","3,54","3,54","3,54","3,54","","0,00%"
"17.02.2009","3,55","3,55","3,55","3,55","","0,28%"
"18.02.2009","3,56","3,56","3,56","3,56","","0,28%"
"19.02.2009","3,61","3,61","3,61","3,61","","1,40%"
"20.02.2009","3,62","3,62","3,62","3,62","","0,28%"
"23.02.2009","3,65","3,65","3,65","3,65","","0,83%"
"24.02.2009","3,67","3,67","3,67","3,67","","0,55%"
"25.02.2009","3,68","3,68","3,68","3,68","","0,27%"
"26.02.2009","3,65","3,65","3,65","3,65","","-0,82%"
"27.02.2009","3,64","3,64","3,64","3,64","","-0,27%"
"02.03.2009","3,66","3,66","3,66","3,66","","0,55%"
"03.03.2009","3,69","3,69","3,69","3,69","","0,82%"
"04.03.2009","3,73","3,73","3,73","3,73","","1,08%"
"05.03.2009","3,72","3,72","3,72","3,72","","-0,27%"
"06.03.2009","3,72","3,72","3,72","3,72","","0,00%"
"09.03.2009","3,72","3,72","3,72","3,72","","0,00%"
"10.03.2009","3,72","3,72","3,72","3,72","","0,00%"
"11.03.2009","3,73","3,73","3,73","3,73","","0,27%"
"12.03.2009","3,73","3,73","3,73","3,73","","0,00%"
"13.03.2009","3,73","3,73","3,73","3,73","","0,00%"
"16.03.2009","3,73","3,73","3,73","3,73","","0,00%"
"17.03.2009","3,73","3,73","3,73","3,73","","0,00%"
"18.03.2009","3,75","3,75","3,75","3,75","","0,54%"
"19.03.2009","3,74","3,74","3,74","3,74","","-0,27%"
"20.03.2009","3,75","3,75","3,75","3,75","","0,27%"
"23.03.2009","3,77","3,77","3,77","3,77","","0,53%"
"24.03.2009","3,77","3,77","3,77","3,77","","0,00%"
"25.03.2009","3,76","3,76","3,76","3,76","","-0,27%"
"26.03.2009","3,79","3,79","3,79","3,79","","0,80%"
"27.03.2009","3,81","3,81","3,81","3,81","","0,53%"
"30.03.2009","3,81","3,81","3,81","3,81","","0,00%"
"31.03.2009","3,79","3,79","3,79","3,79","","-0,52%"
"01.04.2009","3,77","3,77","3,77","3,77","","-0,53%"
"02.04.2009","3,77","3,77","3,77","3,77","","0,00%"
"03.04.2009","3,75","3,75","3,75","3,75","","-0,53%"
"06.04.2009","3,70","3,70","3,70","3,70","","-1,33%"
"07.04.2009","3,71","3,71","3,71","3,71","","0,27%"
"08.04.2009","3,72","3,72","3,72","3,72","","0,27%"
"09.04.2009","3,72","3,72","3,72","3,72","","0,00%"
"10.04.2009","3,72","3,72","3,72","3,72","","0,00%"
"13.04.2009","3,69","3,69","3,69","3,69","","-0,81%"
"14.04.2009","3,71","3,71","3,71","3,71","","0,54%"
"15.04.2009","3,72","3,72","3,72","3,72","","0,27%"
"16.04.2009","3,73","3,73","3,73","3,73","","0,27%"
"17.04.2009","3,73","3,73","3,73","3,73","","0,00%"
"20.04.2009","3,72","3,72","3,72","3,72","","-0,27%"
"21.04.2009","3,73","3,73","3,73","3,73","","0,27%"
"22.04.2009","3,74","3,74","3,74","3,74","","0,27%"
"23.04.2009","3,74","3,74","3,74","3,74","","0,00%"
"24.04.2009","3,74","3,74","3,74","3,74","","0,00%"
"27.04.2009","3,74","3,74","3,74","3,74","","0,00%"
"28.04.2009","3,74","3,74","3,74","3,74","","0,00%"
"29.04.2009","3,75","3,75","3,75","3,75","","0,27%"
"30.04.2009","3,74","3,74","3,74","3,74","","-0,27%"
"01.05.2009","3,74","3,74","3,74","3,74","","0,00%"
"04.05.2009","3,73","3,73","3,73","3,73","","-0,27%"
"05.05.2009","3,73","3,73","3,73","3,73","","0,00%"
"06.05.2009","3,73","3,73","3,73","3,73","","0,00%"
"07.05.2009","3,74","3,74","3,74","3,74","","0,27%"
"08.05.2009","3,75","3,75","3,75","3,75","","0,27%"
"11.05.2009","3,75","3,75","3,75","3,75","","0,00%"
"12.05.2009","3,75","3,75","3,75","3,75","","0,00%"
"13.05.2009","3,77","3,77","3,77","3,77","","0,53%"
"14.05.2009","3,78","3,78","3,78","3,78","","0,27%"
"15.05.2009","3,77","3,77","3,77","3,77","","-0,26%"
"18.05.2009","3,77","3,77","3,77","3,77","","0,00%"
"19.05.2009","3,79","3,79","3,79","3,79","","0,53%"
"20.05.2009","3,79","3,79","3,79","3,79","","0,00%"
"21.05.2009","3,80","3,80","3,80","3,80","","0,26%"
"22.05.2009","3,80","3,80","3,80","3,80","","0,00%"
"25.05.2009","3,80","3,80","3,80","3,80","","0,00%"
"26.05.2009","3,79","3,79","3,79","3,79","","-0,26%"
"27.05.2009","3,78","3,78","3,78","3,78","","-0,26%"
"28.05.2009","3,80","3,80","3,80","3,80","","0,53%"
"29.05.2009","3,81","3,81","3,81","3,81","","0,26%"
"01.06.2009","3,81","3,81","3,81","3,81","","0,00%"
"02.06.2009","3,80","3,80","3,80","3,80","","-0,26%"
"03.06.2009","3,80","3,80","3,80","3,80","","0,00%"
"04.06.2009","3,81","3,81","3,81","3,81","","0,26%"
"05.06.2009","3,81","3,81","3,81","3,81","","0,00%"
"08.06.2009","3,81","3,81","3,81","3,81","","0,00%"
"09.06.2009","3,81","3,81","3,81","3,81","","0,00%"
"10.06.2009","3,81","3,81","3,81","3,81","","0,00%"
"11.06.2009","3,83","3,83","3,83","3,83","","0,52%"
"12.06.2009","3,84","3,84","3,84","3,84","","0,26%"
"15.06.2009","3,84","3,84","3,84","3,84","","0,00%"
"16.06.2009","3,84","3,84","3,84","3,84","","0,00%"
"17.06.2009","3,84","3,84","3,84","3,84","","0,00%"
"18.06.2009","3,86","3,86","3,86","3,86","","0,52%"
"19.06.2009","3,88","3,88","3,88","3,88","","0,52%"
"22.06.2009","3,90","3,90","3,90","3,90","","0,52%"
"23.06.2009","3,90","3,90","3,90","3,90","","0,00%"
"24.06.2009","3,88","3,88","3,88","3,88","","-0,51%"
"25.06.2009","3,89","3,89","3,89","3,89","","0,26%"
"26.06.2009","3,89","3,89","3,89","3,89","","0,00%"
"29.06.2009","3,84","3,84","3,84","3,84","","-1,29%"
"30.06.2009","3,83","3,83","3,83","3,83","","-0,26%"
"01.07.2009","3,84","3,84","3,84","3,84","","0,26%"
"02.07.2009","3,86","3,86","3,86","3,86","","0,52%"
"03.07.2009","3,84","3,84","3,84","3,84","","-0,52%"
"06.07.2009","3,83","3,83","3,83","3,83","","-0,26%"
"07.07.2009","3,83","3,83","3,83","3,83","","0,00%"
"08.07.2009","3,84","3,84","3,84","3,84","","0,26%"
"09.07.2009","3,84","3,84","3,84","3,84","","0,00%"
"10.07.2009","3,84","3,84","3,84","3,84","","0,00%"
"13.07.2009","3,83","3,83","3,83","3,83","","-0,26%"
"14.07.2009","3,84","3,84","3,84","3,84","","0,26%"
"15.07.2009","3,86","3,86","3,86","3,86","","0,52%"
"16.07.2009","3,88","3,88","3,88","3,88","","0,52%"
"17.07.2009","3,88","3,88","3,88","3,88","","0,00%"
"20.07.2009","3,86","3,86","3,86","3,86","","-0,52%"
"21.07.2009","3,87","3,87","3,87","3,87","","0,26%"
"22.07.2009","3,88","3,88","3,88","3,88","","0,26%"
"23.07.2009","3,88","3,88","3,88","3,88","","0,00%"
"24.07.2009","3,88","3,88","3,88","3,88","","0,00%"
"27.07.2009","3,87","3,87","3,87","3,87","","-0,26%"
"28.07.2009","3,86","3,86","3,86","3,86","","-0,26%"
"29.07.2009","3,86","3,86","3,86","3,86","","0,00%"
"30.07.2009","3,87","3,87","3,87","3,87","","0,26%"
"31.07.2009","3,87","3,87","3,87","3,87","","0,00%"
"03.08.2009","3,86","3,86","3,86","3,86","","-0,26%"
"04.08.2009","3,86","3,86","3,86","3,86","","0,00%"
"05.08.2009","3,85","3,85","3,85","3,85","","-0,26%"
"06.08.2009","3,84","3,84","3,84","3,84","","-0,26%"
"07.08.2009","3,84","3,84","3,84","3,84","","0,00%"
"10.08.2009","3,84","3,84","3,84","3,84","","0,00%"
"11.08.2009","3,84","3,84","3,84","3,84","","0,00%"
"12.08.2009","3,85","3,85","3,85","3,85","","0,26%"
"13.08.2009","3,86","3,86","3,86","3,86","","0,26%"
"14.08.2009","3,86","3,86","3,86","3,86","","0,00%"
"17.08.2009","3,86","3,86","3,86","3,86","","0,00%"
"18.08.2009","3,86","3,86","3,86","3,86","","0,00%"
"19.08.2009","3,88","3,88","3,88","3,88","","0,52%"
"20.08.2009","3,88","3,88","3,88","3,88","","0,00%"
"21.08.2009","3,88","3,88","3,88","3,88","","0,00%"
"24.08.2009","3,87","3,87","3,87","3,87","","-0,26%"
"25.08.2009","3,86","3,86","3,86","3,86","","-0,26%"
"26.08.2009","3,86","3,86","3,86","3,86","","0,00%"
"27.08.2009","3,86","3,86","3,86","3,86","","0,00%"
"28.08.2009","3,85","3,85","3,85","3,85","","-0,26%"
"31.08.2009","3,84","3,84","3,84","3,84","","-0,26%"
"01.09.2009","3,85","3,85","3,85","3,85","","0,26%"
"02.09.2009","3,86","3,86","3,86","3,86","","0,26%"
"03.09.2009","3,87","3,87","3,87","3,87","","0,26%"
"04.09.2009","3,84","3,84","3,84","3,84","","-0,78%"
"07.09.2009","3,84","3,84","3,84","3,84","","0,00%"
"08.09.2009","3,84","3,84","3,84","3,84","","0,00%"
"09.09.2009","3,84","3,84","3,84","3,84","","0,00%"
"10.09.2009","3,86","3,86","3,86","3,86","","0,52%"
"11.09.2009","3,86","3,86","3,86","3,86","","0,00%"
"14.09.2009","3,85","3,85","3,85","3,85","","-0,26%"
"15.09.2009","3,84","3,84","3,84","3,84","","-0,26%"
"16.09.2009","3,84","3,84","3,84","3,84","","0,00%"
"17.09.2009","3,85","3,85","3,85","3,85","","0,26%"
"18.09.2009","3,85","3,85","3,85","3,85","","0,00%"
"21.09.2009","3,85","3,85","3,85","3,85","","0,00%"
"22.09.2009","3,85","3,85","3,85","3,85","","0,00%"
"23.09.2009","3,87","3,87","3,87","3,87","","0,52%"
"24.09.2009","3,87","3,87","3,87","3,87","","0,00%"
"25.09.2009","3,87","3,87","3,87","3,87","","0,00%"
"28.09.2009","3,85","3,85","3,85","3,85","","-0,52%"
"29.09.2009","3,85","3,85","3,85","3,85","","0,00%"
"30.09.2009","3,84","3,84","3,84","3,84","","-0,26%"
"01.10.2009","3,84","3,84","3,84","3,84","","0,00%"
"02.10.2009","3,84","3,84","3,84","3,84","","0,00%"
"05.10.2009","3,83","3,83","3,83","3,83","","-0,26%"
"06.10.2009","3,82","3,82","3,82","3,82","","-0,26%"
"07.10.2009","3,83","3,83","3,83","3,83","","0,26%"
"08.10.2009","3,83","3,83","3,83","3,83","","0,00%"
"09.10.2009","3,83","3,83","3,83","3,83","","0,00%"
"12.10.2009","3,83","3,83","3,83","3,83","","0,00%"
"13.10.2009","3,83","3,83","3,83","3,83","","0,00%"
"14.10.2009","3,82","3,82","3,82","3,82","","-0,26%"
"15.10.2009","3,82","3,82","3,82","3,82","","0,00%"
"16.10.2009","3,83","3,83","3,83","3,83","","0,26%"
"19.10.2009","3,82","3,82","3,82","3,82","","-0,26%"
"20.10.2009","3,82","3,82","3,82","3,82","","0,00%"
"21.10.2009","3,84","3,84","3,84","3,84","","0,52%"
"22.10.2009","3,84","3,84","3,84","3,84","","0,00%"
"23.10.2009","3,83","3,83","3,83","3,83","","-0,26%"
"26.10.2009","3,83","3,83","3,83","3,83","","0,00%"
"27.10.2009","3,83","3,83","3,83","3,83","","0,00%"
"28.10.2009","3,83","3,83","3,83","3,83","","0,00%"
"29.10.2009","3,83","3,83","3,83","3,83","","0,00%"
"30.10.2009","3,82","3,82","3,82","3,82","","-0,26%"
"02.11.2009","3,81","3,81","3,81","3,81","","-0,26%"
"03.11.2009","3,80","3,80","3,80","3,80","","-0,26%"
"04.11.2009","3,80","3,80","3,80","3,80","","0,00%"
"05.11.2009","3,79","3,79","3,79","3,79","","-0,26%"
"06.11.2009","3,79","3,79","3,79","3,79","","0,00%"
"09.11.2009","3,79","3,79","3,79","3,79","","0,00%"
"10.11.2009","3,79","3,79","3,79","3,79","","0,00%"
"11.11.2009","3,80","3,80","3,80","3,80","","0,26%"
"12.11.2009","3,81","3,81","3,81","3,81","","0,26%"
"13.11.2009","3,81","3,81","3,81","3,81","","0,00%"
"16.11.2009","3,82","3,82","3,82","3,82","","0,26%"
"17.11.2009","3,83","3,83","3,83","3,83","","0,26%"
"18.11.2009","3,84","3,84","3,84","3,84","","0,26%"
"19.11.2009","3,84","3,84","3,84","3,84","","0,00%"
"20.11.2009","3,82","3,82","3,82","3,82","","-0,52%"
"23.11.2009","3,82","3,82","3,82","3,82","","0,00%"
"24.11.2009","3,82","3,82","3,82","3,82","","0,00%"
"25.11.2009","3,82","3,82","3,82","3,82","","0,00%"
"26.11.2009","3,82","3,82","3,82","3,82","","0,00%"
"27.11.2009","3,81","3,81","3,81","3,81","","-0,26%"
"30.11.2009","3,80","3,80","3,80","3,80","","-0,26%"
"01.12.2009","3,80","3,80","3,80","3,80","","0,00%"
"02.12.2009","3,81","3,81","3,81","3,81","","0,26%"
"03.12.2009","3,81","3,81","3,81","3,81","","0,00%"
"04.12.2009","3,80","3,80","3,80","3,80","","-0,26%"
"07.12.2009","3,80","3,80","3,80","3,80","","0,00%"
"08.12.2009","3,80","3,80","3,80","3,80","","0,00%"
"09.12.2009","3,80","3,80","3,80","3,80","","0,00%"
"10.12.2009","3,80","3,80","3,80","3,80","","0,00%"
"11.12.2009","3,80","3,80","3,80","3,80","","0,00%"
"14.12.2009","3,81","3,81","3,81","3,81","","0,26%"
"15.12.2009","3,83","3,83","3,83","3,83","","0,52%"
"16.12.2009","3,85","3,85","3,85","3,85","","0,52%"
"17.12.2009","3,84","3,84","3,84","3,84","","-0,26%"
"18.12.2009","3,83","3,83","3,83","3,83","","-0,26%"
"21.12.2009","3,83","3,83","3,83","3,83","","0,00%"
"22.12.2009","3,84","3,84","3,84","3,84","","0,26%"
"23.12.2009","3,83","3,83","3,83","3,83","","-0,26%"
