mes,boleto
2009-01,1.10
2009-02,1.10
2009-03,1.10
2009-04,1.10
2009-05,1.10
2009-06,1.10
2009-07,1.10
2009-08,1.10
2009-09,1.10
2009-10,1.10
2009-11,1.10
2009-12,1.10
2010-01,1.10
2010-02,1.10
2010-03,1.10
2010-04,1.10
2010-05,1.10
2010-06,1.10
2010-07,1.10
2010-08,1.10
2010-09,1.10
2010-10,1.10
2010-11,1.10
2010-12,1.10
2011-01,1.10
2011-02,1.10
2011-03,1.10
2011-04,1.10
2011-05,1.10
2011-06,1.10
2011-07,1.10
2011-08,1.10
2011-09,1.10
2011-10,1.10
2011-11,1.10
2011-12,1.10
2012-01,1.25
2012-02,1.25
2012-03,1.25
2012-04,1.25
2012-05,1.25
2012-06,1.25
2012-07,1.25
2012-08,1.25
2012-09,1.25
2012-10,1.25
2012-11,1.25
2012-12,1.25
2013-01,1.25
2013-02,1.25
2013-03,1.25
2013-04,1.25
2013-05,1.25
2013-06,1.25
2013-07,1.25
2013-08,1.25
2013-09,1.25
2013-10,1.25
2013-11,1.25
2013-12,1.50
2014-01,2.50
2014-02,2.50
2014-03,2.50
2014-04,2.50
2014-05,2.50
2014-06,2.50
2014-07,3.00
2014-08,3.00
2014-09,3.00
2014-10,3.00
2014-11,3.00
2014-12,3.00
2015-01,3.00
2015-02,3.00
2015-03,3.00
2015-04,3.00
2015-05,3.00
2015-06,3.00
2015-07,3.00
2015-08,3.00
2015-09,3.00
2015-10,3.00
2015-11,3.00
2015-12,3.00
2016-01,3.00
2016-02,3.00
2016-03,3.00
2016-04,6.00
2016-05,6.00
2016-06,6.00
2016-07,6.00
2016-08,6.00
2016-09,6.00
2016-10,6.00
2016-11,6.00
2016-12,6.00
2017-01,6.00
2017-02,6.00
2017-03,6.00
2017-04,6.00
2017-05,6.00
2017-06,6.00
2017-07,6.00
2017-08,6.00
2017-09,6.00
2017-10,6.00
2017-11,6.00
2017-12,6.00
2018-01,8.00
2018-02,9.00
2018-03,9.00
2018-04,10.00
2018-05,10.00
2018-06,10.00
2018-07,10.00
2018-08,11.00
2018-09,11.00
2018-10,11.00
2018-11,11.00
2018-12,11.00
2019-01,13.00
2019-02,15.00
2019-03,16.50
2019-04,18.00
2019-05,18.00
2019-06,18.00
2019-07,18.00
2019-08,18.00
2019-09,18.00
2019-10,18.00
2019-11,18.00
2019-12,18.00
2020-01,18.00
2020-02,18.00
2020-03,18.00
2020-04,18.00
2020-05,18.00
2020-06,18.00
2020-07,18.00
2020-08,18.00
2020-09,18.00
2020-10,18.00
2020-11,18.00
2020-12,18.00
2021-01,18.00
2021-02,18.00
2021-03,18.00
2021-04,18.00
2021-05,18.00
2021-06,18.00
2021-07,18.00
2021-08,18.00
2021-09,18.00
2021-10,18.00
2021-11,18.00
2021-12,18.00
2022-01,18.00
2022-02,18.00
2022-03,18.00
2022-04,18.00
2022-05,18.00
2022-06,18.00
2022-07,18.00
2022-08,25.20
2022-09,25.20
2022-10,25.20
2022-11,25.20
2022-12,25.20
2023-01,35.00
2023-02,35.00
2023-03,39.50
2023-04,39.50
2023-05,50.06
2023-06,50.06
2023-07,50.06
2023-08,52.96
2023-09,56.23
2023-10,59.35
2023-11,62.39
2023-12,66.88
2024-01,76.92
2024-02,270.00
2024-03,270.00
2024-04,270.00
2024-05,270.00
2024-06,270.00
2024-07,270.00
2024-08,371.13
2024-09,371.13
2024-10,371.13
2024-11,371.13
2024-12,371.13
2025-01,371.13
2025-02,371.13
2025-03,371.13
2025-04,371.13
2025-05,397.11
2025-06,424.91
2025-07,451.01
